FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d04,123006975,6975,53,6947,27769357,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.799892402690131 50.79475089632683),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d03,123006976,6976,15,6946,27769398,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8033852964765997 50.79897927482959),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d02,123006977,6977,54,6948,27769189,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7968715225851013 50.79172343964011),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d01,123006978,6978,55,6949,27769753,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.806006149775555 50.79015526042109),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d00,123006982,6982,75,6953,27770561,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8093617883917137 50.7822514066022),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cff,123006979,6979,74,6951,27769649,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8082452058110485 50.77888069791481),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cfe,123006980,6980,73,6950,27770703,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.808590259995662 50.77756507424837),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cfd,123006981,6981,83,6952,27769424,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8128786816747042 50.7798363074923),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cfc,123006987,6987,82,6954,27770111,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.816285125550223 50.77957689599295),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cfb,123006986,6986,81,6955,27770244,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.819149568800126 50.78032695948275),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cfa,123006983,6983,70,6956,27769328,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8171517564309343 50.78241688818926),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf9,122005777,5777,51,5737,27769743,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8404102365209583 50.80559574796843),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf8,122005778,5778,53,5738,27770063,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8273286338630155 50.80667312870149),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf7,122005779,5779,52,5739,27770259,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.833938022822702 50.807871345402035),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf6,122005780,5780,55,5740,27769297,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8391583933351283 50.814596702535376),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf5,122005781,5781,54,5741,27769252,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8404712431295702 50.81429082612602),NETWERK
