FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--16c1f25b_14b3a583521_27b7,126007192,7192,34,7169,29034977,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.473778188395142 50.87284203793952),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b8,126006530,6530,43,6504,29033586,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.0248075530987513 50.81838603969286),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b9,127006530,6530,43,6504,29033586,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.0248075530987513 50.81838603969286),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27ba,126006493,6493,30,6467,29033399,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (2.997709451674344 50.882621298731166),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27bb,127006493,6493,30,6467,29033399,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (2.997709451674344 50.882621298731166),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27bc,126006377,6377,29,6350,29033528,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (2.9961909668775415 50.89253508510965),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27bd,127006377,6377,29,6350,29033528,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (2.9961909668775415 50.89253508510965),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27be,125006189,6189,3,6162,29034357,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (3.0924455512871662 51.03518868444053),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27bf,127006189,6189,3,6162,29034357,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.0924455512871662 51.03518868444053),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c0,126006449,6449,54,6423,29034213,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.0401477325743476 50.77620158642992),NETWERK
