FID,code,id,oldnr,newnr,oldstatus,newstatus,change,ok
416,NU,6463,44,44,IN,FIX,0,1
417,NW,6465,45,45,IN,FIX,0,1
418,NX,6466,46,46,IN,FIX,0,1
419,NZ,6468,20,92,IN,FIX,1,1
420,N1,6470,-48,85,FIX,FIX,1,1
421,NY,6467,66,-1,DEL,DEL,1,1
422,NV,6464,42,40,IN,FIX,1,1
423,N2,6471,56,56,IN,FIX,0,1
424,N3,6472,64,52,IN,FIX,1,1
425,N4,6473,94,94,IN,FIX,0,1
426,N6,6475,65,65,IN,FIX,0,1
427,N8,6477,58,13,IN,FIX,1,1
428,N7,6476,57,64,IN,FIX,1,1
429,OA,6479,93,36,IN,FIX,1,1
430,OD,6482,14,53,IN,FIX,1,1
431,OE,6483,8,8,IN,FIX,0,1
432,OL,6490,21,62,IN,FIX,1,1
433,OM,6491,-51,83,FIX,FIX,1,1
434,ON,6492,50,50,FIX,FIX,0,1
435,OP,6494,27,27,FIX,FIX,0,1
436,OQ,6495,22,22,FIX,FIX,0,1
437,OR,6496,28,28,FIX,FIX,0,1
438,OS,6497,7,20,IN,FIX,1,1
439,OT,6498,95,27,IN,FIX,1,1
440,OV,6500,8,8,IN,FIX,0,1
441,OU,6499,22,22,IN,FIX,0,1
442,OW,6501,21,54,IN,FIX,1,1
443,OY,6503,31,62,IN,FIX,1,1
444,OZ,6504,30,30,IN,FIX,0,1
445,O0,6505,38,38,IN,FIX,0,1
446,O2,6507,23,39,IN,FIX,1,1
447,O1,6506,24,24,IN,FIX,0,1
448,OX,6502,9,9,IN,FIX,0,1
449,O3,6508,37,57,IN,FIX,1,1
450,O4,6509,50,50,IN,FIX,0,1
451,O5,6510,59,75,IN,FIX,1,1
452,O7,6514,67,58,IN,FIX,1,1
453,O6,6513,68,63,IN,FIX,1,1
454,O8,6515,69,21,IN,FIX,1,1
455,O9,6516,73,67,IN,FIX,1,1
456,PA,6517,74,74,IN,FIX,0,1
457,PD,6520,61,61,IN,FIX,0,1
458,PB,6518,71,69,IN,FIX,1,1
459,PE,6521,96,96,IN,FIX,0,1
460,PF,6522,97,25,IN,FIX,1,1
461,PG,6523,98,98,IN,FIX,0,1
462,PH,6524,12,59,IN,FIX,1,1
463,PI,6525,9,9,IN,FIX,0,1
464,PJ,6526,31,-1,DEL,DEL,1,1
465,PM,6529,99,73,IN,FIX,1,1
466,PO,6531,42,42,FIX,FIX,0,1
467,PP,6532,55,55,FIX,FIX,0,1
468,PQ,6533,56,56,FIX,FIX,0,1
469,PR,6534,72,70,IN,FIX,1,1
470,PS,6535,70,78,IN,FIX,1,1
471,PT,6536,76,76,FIX,FIX,0,1
472,PU,6537,75,72,IN,FIX,1,1
473,PV,6538,84,84,IN,FIX,0,1
474,PW,6539,1,68,IN,FIX,1,1
475,PX,6540,2,71,IN,FIX,1,1
476,PY,6541,86,86,IN,FIX,0,1
477,PZ,6542,77,60,IN,FIX,1,1
478,P0,6543,85,66,IN,FIX,1,1
479,P2,6545,44,44,FIX,FIX,0,1
480,P7,6552,2,2,FIX,FIX,0,1
481,P6,6551,-70,84,FIX,FIX,1,1
482,QA,6555,79,79,FIX,FIX,0,1
483,P9,6554,78,78,FIX,FIX,0,1
484,P8,6553,65,65,FIX,FIX,0,1
485,P4,6549,-69,9,FIX,FIX,1,1
486,P5,6550,-71,64,FIX,FIX,1,1
487,P3,6548,1,1,FIX,FIX,0,1
488,QF,6560,76,76,FIX,FIX,0,1
489,QG,6561,77,77,FIX,FIX,0,1
490,QB,6556,83,83,FIX,FIX,0,1
491,QC,6557,-84,39,FIX,FIX,1,1
492,QD,6558,85,85,FIX,FIX,0,1
493,QE,6559,86,86,FIX,FIX,0,1
494,QI,6563,3,-1,DEL,DEL,1,1
495,QJ,6564,69,69,FIX,FIX,0,1
496,QK,6565,4,4,FIX,FIX,0,1
497,QL,6566,91,91,FIX,FIX,0,1
498,QM,6567,73,73,FIX,FIX,0,1
499,QN,6568,74,74,FIX,FIX,0,1
500,QO,6569,80,80,FIX,FIX,0,1
501,QP,6570,71,71,FIX,FIX,0,1
502,QQ,6571,70,70,FIX,FIX,0,1
503,QR,6572,68,68,FIX,FIX,0,1
504,QS,6573,67,67,FIX,FIX,0,1
505,QT,6574,66,66,FIX,FIX,0,1
506,QH,6562,72,72,FIX,FIX,0,1
507,QU,6575,8,8,FIX,FIX,0,1
508,QV,6576,75,75,FIX,FIX,0,1
509,QW,6577,20,20,FIX,FIX,0,1
510,QX,6578,23,23,FIX,FIX,0,1
511,QY,6579,64,64,FIX,FIX,0,1
512,QZ,6580,24,24,FIX,FIX,0,1
513,Q0,6581,25,25,FIX,FIX,0,1
514,Q1,6582,81,81,FIX,FIX,0,1
515,Q2,6583,52,52,FIX,FIX,0,1
516,Q3,6584,11,11,FIX,FIX,0,1
517,Q7,6589,92,-1,DEL,DEL,1,1
518,Q8,6590,90,90,FIX,FIX,0,1
519,Q9,6591,82,82,FIX,FIX,0,1
520,Q4,6586,87,87,FIX,FIX,0,1
521,Q5,6587,88,88,FIX,FIX,0,1
522,Q6,6588,89,-1,DEL,DEL,1,1
523,RA,6592,94,94,FIX,FIX,0,1
524,RB,6593,93,-1,DEL,DEL,1,1
525,RC,6594,95,95,FIX,FIX,0,1
526,RD,6595,96,96,FIX,FIX,0,1
527,RE,6597,1,16,IN,FIX,1,1
528,RF,6598,2,2,FIX,FIX,0,1
529,RG,6599,7,7,FIX,FIX,0,1
530,RH,6600,8,-1,DEL,DEL,1,1
531,RI,6601,-9,92,FIX,FIX,1,1
532,RJ,6602,10,10,FIX,FIX,0,1
533,RK,6603,6,6,FIX,FIX,0,1
534,RL,6605,99,99,FIX,FIX,0,1
535,RM,6606,98,98,FIX,FIX,0,1
536,RN,6607,97,97,FIX,FIX,0,1
