XCoord;YCoord;knoopid;NETWERKID;NETWERK;code;STATUS;lon_x;lat_y
356775,05452836;6589451,66333332;6193;19;125;Fietsnetwerk Brugse Ommeland;GJ;OUT;3,204965;51,007851
355048,59012258;6586708,99781680;6194;18;125;Fietsnetwerk Brugse Ommeland;GK;OUT;3,189456;50,992304
350729,36066147;6587386,34386763;6195;16;125;Fietsnetwerk Brugse Ommeland;GL;OUT;3,150655;50,996144
349755,02927246;6592967,79191793;6192;15;125;Fietsnetwerk Brugse Ommeland;GI;OUT;3,141903;51,027774
361318,46052101;6592572,12328261;6198;23;125;Fietsnetwerk Brugse Ommeland;GO;OUT;3,245779;51,025532
363927,07948015;6589720,65350154;6200;36;125;Fietsnetwerk Brugse Ommeland;GQ;OUT;3,269213;51,009375
365210,08450264;6586321,92219061;6199;24;125;Fietsnetwerk Brugse Ommeland;GP;OUT;3,280738;50,990110
365784,09447126;6584501,95725145;6201;53;125;Fietsnetwerk Brugse Ommeland;GR;OUT;3,285894;50,979790
360468,77203576;6582111,86381446;6202;54;125;Fietsnetwerk Brugse Ommeland;GS;OUT;3,238146;50,966234
359439,43927818;6582217,74367817;6203;55;125;Fietsnetwerk Brugse Ommeland;GT;OUT;3,228899;50,966835
304253,15754352;6613925,39761110;6204;82;127;Fietsnetwerk Westhoek;GU;TODO;2,733153;51,146345
370216,96661520;6598772,58733118;6205;41;125;Fietsnetwerk Brugse Ommeland;GV;OUT;3,325716;51,060646
369651,44395175;6595077,96153534;6206;42;125;Fietsnetwerk Brugse Ommeland;GW;OUT;3,320635;51,039726
368523,52301508;6590545,63659245;6207;37;125;Fietsnetwerk Brugse Ommeland;GX;OUT;3,310503;51,014050
371022,88956820;6599836,46786008;6208;40;125;Fietsnetwerk Brugse Ommeland;GY;OUT;3,332955;51,066668
375631,04315266;6593817,75539780;6209;44;125;Fietsnetwerk Brugse Ommeland;GZ;OUT;3,374351;51,032588
378436,61478939;6595471,85094654;6210;43;125;Fietsnetwerk Brugse Ommeland;G0;OUT;3,399554;51,041957
377106,31083909;6600339,90285046;6211;39;125;Fietsnetwerk Brugse Ommeland;G1;OUT;3,387604;51,069517
305153,29310549;6612571,52540591;6212;67;127;Fietsnetwerk Westhoek;G2;TODO;2,741239;51,138694
306615,30330208;6610170,83605736;6213;7;127;Fietsnetwerk Westhoek;G3;TODO;2,754372;51,125125
306846,84373876;6611592,83692945;6214;8;127;Fietsnetwerk Westhoek;G4;TODO;2,756452;51,133163
