XCoord;YCoord;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
299138,14909837;6554085,37284495;0; ;NEW;YP;YM
316445,40654674;6559794,41078474;0; ;NEW;RQ;YA
314288,05052314;6560212,59071766;0; ;NEW;YA;RA
320385,06430752;6562609,53826475;0; ;NEW;R8;XJ
311337,01281798;6565632,83830507;0; ;NEW;Q9;YD
310552,44500750;6566529,59679490;0; ;NEW;Q8;YD
312427,02032523;6561608,14762932;0; ;NEW;RA;YB
310334,59441826;6563599,99405866;0; ;NEW;YB;YD
309801,75707919;6560777,31166276;0; ;NEW;YB;YC
309232,67241798;6568682,74369844;0; ;NEW;YE;QO
382655,01054576;6575674,67395888;0; ;MIS;MD;TB
342417,51478132;6570856,48016843;0; ;NEW;W7;LE
340609,90399415;6566125,28640174;0; ;NEW;W5;LG
306508,50350271;6559535,84154866;0; ;NEW;YC;YQ
304304,18804491;6561069,22264114;0; ;NEW;YQ;YR
302746,43656619;6560987,58233891;0; ;NEW;YR;YS
303397,29897886;6562535,10123621;0; ;NEW;YU;YT
302264,80595687;6562181,43891977;0; ;NEW;YU;YV
303383,94826029;6562236,25090527;0; ;NEW;YT;YR
301411,50296253;6560825,21877460;0; ;NEW;YS;YV
299834,22895354;6562991,61274953;0; ;NEW;YV;YW
297670,87481710;6563121,30180849;0; ;NEW;YW;YX
299285,11709106;6560826,14757211;0; ;NEW;YV;QE
297784,51723900;6561479,14367959;0; ;NEW;QE;YW
296610,11646636;6557966,44262094;0; ;NEW;QC;Y0
297891,12139005;6555929,63632519;0; ;NEW;Y0;YP
299458,60727121;6555274,62197056;0; ;NEW;YP;Q4
296347,47019709;6555313,62065156;0; ;NEW;Y0;Y3
294264,57546131;6555749,02049062;0; ;NEW;Y1;Y4
294999,37518003;6558402,25570887;0; ;NEW;QB;Y1
293331,79584708;6557190,51808846;0; ;NEW;Y1;Y2
292180,24444491;6559615,49588876;0; ;NEW;Y2;Y6
290219,86873715;6562132,23340027;0; ;NEW;Y6;Y7
291699,73497399;6562825,15545917;0; ;NEW;Y6;QG
296541,22593780;6562877,74242015;0; ;NEW;YZ;YX
296267,73177996;6560751,82737584;0; ;NEW;YZ;QD
298031,79724681;6564770,69309903;0; ;NEW;YX;QA
295362,81923219;6563515,18422446;0; ;NEW;P9;YZ
293601,83299318;6564339,37975557;0; ;NEW;P9;QF
298371,69290262;6566430,99017868;0; ;NEW;QA;ZA
299716,56756399;6567457,70193738;0; ;NEW;ZA;QT
300829,75267958;6565957,99145665;0; ;NEW;ZA;ZB
303115,03660056;6564046,33296513;0; ;NEW;ZB;YU
306854,49675828;6564596,51056629;0; ;NEW;Q8;YT
302309,49702642;6567339,44284059;0; ;NEW;QS;ZB
302421,20665565;6569281,17062860;0; ;NEW;QR;ZC
305809,27224944;6568564,34663839;0; ;NEW;ZC;YE
307615,89342942;6571424,59088721;0; ;NEW;QP;YE
304512,09121236;6572240,63093223;0; ;NEW;ZD;QQ
303527,83695941;6570397,04824966;0; ;NEW;ZC;ZD
302800,77981454;6571182,27035200;0; ;NEW;ZD;ZE
301347,78323842;6571020,89284557;0; ;NEW;ZE;ZF
299620,41526644;6570722,02400795;0; ;NEW;P7;ZF
301448,64879121;6574805,41731459;0; ;NEW;ZG;QH
303163,85965668;6574735,83424370;0; ;NEW;QJ;QH
299033,68162654;6573222,87622998;0; ;NEW;ZG;P6
301997,28482283;6570243,85025123;0; ;NEW;QR;ZE
300615,30160484;6572609,19957645;0; ;NEW;ZF;ZG
291852,07783062;6566213,80600585;0; ;NEW;P3;Y9
291779,10620201;6564495,71516688;0; ;NEW;Y9;QF
290343,18220201;6565939,70557277;0; ;NEW;Y9;Y8
291394,90681326;6570068,18024260;0; ;NEW;P3;P4
310350,07978612;6577527,80331581;0; ;NEW;QL;VG
289643,36209311;6574978,82951317;0; ;NEW;ZH;ZI
291000,93579974;6577122,66139383;0; ;NEW;ZH;ZJ
291540,93435356;6574849,03692499;0; ;NEW;ZH;P4
292160,21069937;6577359,63646477;0; ;NEW;ZH;JL
296004,25415141;6579900,66640009;0; ;NEW;JK;ZK
297070,22666537;6581277,51706193;0; ;NEW;ZK;JD
306957,05603389;6580703,69701644;0; ;NEW;JG;U4
303531,51930554;6584433,38290157;0; ;NEW;UW;JE
294861,22402669;6583501,82068404;0; ;NEW;UH;ZK
290430,35283789;6581527,95468402;0; ;NEW;ZL;ZM
290055,90758774;6585646,33953199;0; ;NEW;UG;ZN
287394,21205944;6587916,37805947;0; ;NEW;ZO;UF
283730,24900752;6593354,62112220;0; ;NEW;T7;ZQ
285409,16010669;6590562,79286013;0; ;NEW;T9;ZP
299928,70904187;6608269,72417766;0; ;NEW;FG;ZR
300858,64721427;6606829,85566000;0; ;NEW;FF;ZR
304031,51211535;6608407,44165902;0; ;NEW;ZR;G3
295201,96587818;6608673,56072395;0; ;NEW;UE;ZS
297091,84721824;6608811,57625118;0; ;NEW;ZS;FG
296126,19098223;6609778,41348321;0; ;NEW;ZS;ZT
291573,05303802;6608374,81541372;0; ;NEW;T2;ZU
293400,28578957;6608989,85100688;0; ;NEW;ZU;EP
