XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
371379,98646309;6567364,93657067;1245;0; ;MIS;MG;MH
368177,68837641;6562690,30147160;1246;0; ;NEW;NV;13
367181,35159082;6562540,53058186;1247;0; ;NEW;14;15
365970,84090188;6560521,59555600;1248;0; ;NEW;10;13
366973,70117599;6561572,01165629;1249;0; ;NEW;L3;L4
368738,24919415;6563953,49423495;1250;0; ;NEW;L2;14
366412,27484660;6563036,16009791;1251;0; ;NEW;15;L5
366762,91815499;6564861,67294163;1252;0; ;NEW;L1;L5
366101,75570917;6561505,04672748;1253;0; ;NEW;L3;16
366256,22378478;6562096,98941866;1254;0; ;NEW;15;16
364700,95222106;6562587,50309735;1255;0; ;NEW;16;17
365190,75338706;6563710,90097582;1256;0; ;NEW;L5;17
363864,81680750;6564552,25600182;1257;0; ;NEW;17;18
362865,60056992;6567378,53642886;1258;0; ;NEW;LQ;18
362389,79568345;6565329,83014297;1259;0; ;NEW;18;19
361352,87602816;6567671,13883411;1260;0; ;NEW;LQ;19
360161,64492550;6565459,55226309;1261;0; ;NEW;LU;19
390136,17711147;6551787,26041623;1262;0; ;NEW;OH;TX
387231,44449447;6549061,84072868;1263;0; ;NEW;1O;OK
383642,89034462;6545136,45752790;1264;0; ;NEW;1Q;2A
377030,53247995;6540402,46463581;1265;0; ;NEW;2C;2B
378313,50510065;6541797,97278865;1266;0; ;NEW;PY;2C
376284,14683982;6542146,98696048;1267;0; ;NEW;PU;2C
375051,19698116;6539336,67197997;1268;0; ;NEW;2C;PZ
373748,41802650;6536783,01843333;1269;0; ;NEW;2D;2E
370849,48711162;6537523,14671064;1270;0; ;NEW;2D;2F
373556,87165746;6538091,36563399;1271;0; ;NEW;PZ;2D
369878,26348866;6541912,63347485;1272;0; ;NEW;PT;2G
368806,81428692;6547354,01596369;1273;0; ;NEW;2H;PD
373073,08976317;6549369,17576747;1274;0; ;MIS;PC;PB
357206,88066285;6564854,89101283;1275;0; ;NEW;MY;LU
359925,93594976;6563086,21116012;1276;0; ;NEW;LU;2I
358132,04100469;6560232,58375649;1277;0; ;NEW;2K;2J
360335,81111518;6560604,28187625;1278;0; ;NEW;2I;2J
356723,70658028;6562200,04821628;1279;0; ;NEW;MY;2K
355606,20448611;6563611,61407712;1280;0; ;NEW;MY;2L
353470,81403184;6565194,55054801;1281;0; ;NEW;2L;0I
353686,47523149;6562207,14996672;1282;0; ;NEW;2M;2L
