XCoord;YCoord;FID;KNOOPID;VOLGNR;NETWERKID;CODE;STATUS;LON_X;LAT_Y
312391,66726798;6584783,48273255;270;6307;22;127;JN;IN;2,806262;50,981386
312355,61759666;6584849,90747624;271;6308;58;127;JO;FIX;2,805938;50,981763
305185,62112961;6584579,33636864;272;6309;56;127;JP;FIX;2,741529;50,980229
308902,69548261;6588122,70403710;273;6310;24;127;JQ;FIX;2,774920;51,000318
312822,70211963;6586610,69610027;274;6311;57;127;JR;FIX;2,810134;50,991747
313119,36965682;6589666,23367868;275;6312;51;127;JS;FIX;2,812799;51,009067
317710,11435653;6593164,11981251;276;6313;50;127;JT;FIX;2,854039;51,028886
315864,65788025;6586366,00138590;277;6314;21;127;JU;FIX;2,837460;50,990360
316976,19807444;6582577,57977790;278;6315;56;127;JV;FIX;2,847446;50,968876
315897,72896142;6581670,03533577;279;6316;63;127;JW;FIX;2,837758;50,963728
328962,06945175;6583325,47518213;280;6317;1;127;JX;IN;2,955117;50,973118
323779,38793124;6580043,30696831;281;6318;53;127;JY;FIX;2,908560;50,954499
323615,08479764;6579942,37898174;282;6319;54;127;JZ;FIX;2,907084;50,953926
323051,95150535;6583498,53231368;283;6320;55;127;J0;FIX;2,902025;50,974099
321533,13314377;6587770,21923713;284;6321;19;127;J1;FIX;2,888381;50,998320
317995,65522710;6587771,14605015;285;6322;20;127;J2;FIX;2,856604;50,998325
321268,74473045;6590173,37438554;286;6323;60;127;J3;FIX;2,886006;51,011941
322575,52235873;6588537,85416214;287;6331;61;127;KB;FIX;2,897745;51,002671
325715,25769747;6590258,69806999;288;6324;17;127;J4;FIX;2,925950;51,012424
327713,14384965;6588475,26976154;289;6325;15;127;J5;FIX;2,943897;51,002317
329497,03427006;6589578,91109183;290;6326;16;127;J6;FIX;2,959922;51,008572
331026,00451358;6587373,14393601;291;6327;47;127;J7;FIX;2,973657;50,996069
328525,39850992;6586182,04903483;292;6328;49;127;J8;IN;2,951194;50,989317
326632,63608081;6586789,39747636;293;6329;10;127;J9;FIX;2,934191;50,992760
322137,10417188;6588210,48705153;294;6330;62;127;KA;IN;2,893807;51,000816
370155,70222992;6588035,97261741;295;6332;46;125;KC;IN;3,325165;50,999827
370368,22164531;6588115,17135081;296;6333;47;125;KD;IN;3,327074;51,000275
373706,39286128;6591321,99993903;297;6334;45;125;KE;IN;3,357062;51,018449
375155,67383349;6593134,99523534;298;6335;38;125;KF;IN;3,370081;51,028721
371367,46200374;6581306,14873492;299;6341;11;126;KL;IN;3,336051;50,961664
368398,06917446;6582429,52562342;300;6342;12;126;KM;IN;3,309376;50,968036
348101,90667389;6578292,26695171;301;6351;1;126;KT;EXT;3,127053;50,944562
349472,90871051;6574751,62420618;302;6352;76;126;KU;IN;3,139369;50,924464
351363,16293872;6576094,57732631;303;6353;40;126;KV;IN;3,156349;50,932088
351795,44809475;6577667,30603829;304;6354;66;126;KW;IN;3,160232;50,941015
348753,57067351;6578202,10265513;305;6355;78;126;KX;IN;3,132907;50,944051
348738,80022374;6574128,95954429;306;6356;39;126;KY;IN;3,132774;50,920929
345663,83434652;6572947,51184652;307;6357;38;126;KZ;IN;3,105151;50,914220
350529,65973872;6579154,03583604;308;6358;26;126;K0;IN;3,148862;50,949453
352263,22655040;6578539,71899259;309;6359;25;126;K1;IN;3,164434;50,945967
358357,64093576;6580800,30401610;310;6360;24;126;K2;IN;3,219181;50,958794
370198,73021979;6577534,52846705;311;6361;13;126;K3;IN;3,325552;50,940262
365667,44264368;6573649,39930206;312;6362;18;126;K4;IN;3,284847;50,918206
365234,62055677;6574122,92873820;313;6363;19;126;K5;IN;3,280958;50,920895
378377,85830014;6580967,75341136;314;6370;4;126;LB;IN;3,399026;50,959744
374562,12789072;6578768,44924111;315;6371;10;126;LC;IN;3,364749;50,947265
344647,40978147;6571525,60048845;316;6373;45;126;LE;IN;3,096020;50,906144
345945,69824265;6569048,14541483;317;6374;46;126;LF;IN;3,107683;50,892071
342810,36512866;6566533,95781790;318;6375;47;126;LG;IN;3,079518;50,877784
357858,00397600;6574193,50383819;319;6379;12;126;LJ;IN;3,214693;50,921295
356694,47928087;6571879,58613195;320;6380;15;126;LK;IN;3,204241;50,908155
353247,97934479;6570850,40426168;321;6381;41;126;LL;IN;3,173281;50,902309
348222,13539309;6568605,90566573;322;6382;43;126;LM;IN;3,128133;50,889558
347983,67753973;6568632,62222719;323;6383;44;126;LN;IN;3,125991;50,889710
358019,03837730;6574125,60949101;324;6384;13;126;LO;IN;3,216140;50,920910
362665,09871073;6569317,15737164;325;6386;26;126;LQ;IN;3,257876;50,893599
362226,31522441;6573377,89006263;326;6387;25;126;LR;IN;3,253934;50,916664
362166,18061574;6573633,50724570;327;6388;20;126;LS;IN;3,253394;50,918116
358885,63745215;6565450,82629226;328;6390;14;126;LU;IN;3,223925;50,871627
365899,39966898;6572575,99886717;329;6391;17;126;LV;IN;3,286930;50,912110
366037,16499139;6572538,47750122;330;6392;32;126;LW;IN;3,288168;50,911897
369724,62335155;6571718,58772956;331;6393;15;126;LX;IN;3,321293;50,907241
368588,63253200;6566156,93171414;332;6396;40;126;L0;IN;3,311088;50,875641
368045,37480205;6566615,21814629;333;6397;39;126;L1;IN;3,306208;50,878246
369482,24620963;6565352,07299320;334;6398;41;126;L2;IN;3,319115;50,871066
372080,29268367;6568650,06455176;335;6395;53;126;LZ;IN;3,342454;50,889809
366394,20428604;6561257,31342457;336;6399;35;126;L3;IN;3,291375;50,847785
367494,83613841;6561959,16625245;337;6400;43;126;L4;IN;3,301262;50,851776
366119,68329162;6563433,25837523;338;6401;34;126;L5;IN;3,288909;50,860158
