XCoord;YCoord;NETWERKID;NETWERK;PID;STATUS;STARTCODE;ENDCODE
344324,26490283;6568012,45183602;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
346951,77924570;6568792,32840035;126;Fietsnetwerk Leiestreek;6374-6383;FIX;LM;LE
348036,20501837;6571371,07752068;126;Fietsnetwerk Leiestreek;6356-6383;FIX;KX;LM
350225,69773134;6575273,26470306;126;Fietsnetwerk Leiestreek;6352-6353;FIX;KT;KU
351270,85285472;6576981,76502782;126;Fietsnetwerk Leiestreek;6353-6354;FIX;KU;KV
350289,09488320;6578013,43455939;126;Fietsnetwerk Leiestreek;6354-6355;FIX;KV;KW
364226,51362442;6577130,22210743;126;Fietsnetwerk Leiestreek;6363-6364;FIX;K4;K5
365446,92799391;6573878,08730739;126;Fietsnetwerk Leiestreek;6362-6363;FIX;K3;K4
370214,76018668;6559996,43543742;126;Fietsnetwerk Leiestreek;6465-6471;FIX;N1;NV
370408,10691443;6561013,30988288;126;Fietsnetwerk Leiestreek;6463-6471;FIX;NT;N1
368344,33975432;6566464,15453353;126;Fietsnetwerk Leiestreek;6396-6397;FIX;LZ;L0
366743,21302441;6564974,30502823;126;Fietsnetwerk Leiestreek;6397-6401;FIX;L0;L4
366417,06697287;6562476,26738654;126;Fietsnetwerk Leiestreek;6399-6401;FIX;L4;L2
383386,08362357;6545324,27162198;126;Fietsnetwerk Leiestreek;6524-6540;FIX;PH;PX
384034,05578029;6546828,13472990;126;Fietsnetwerk Leiestreek;6524-6525;FIX;PI;PH
384612,11710040;6547699,24397522;126;Fietsnetwerk Leiestreek;6487-6525;FIX;OI;PI
385898,18094845;6548386,52703127;126;Fietsnetwerk Leiestreek;6487-6488;FIX;OJ;OI
384420,32412505;6551699,60671393;126;Fietsnetwerk Leiestreek;6488-6523;FIX;PG;OJ
381787,64882417;6555139,47726952;126;Fietsnetwerk Leiestreek;6522-6523;FIX;PF;PG
381457,10748946;6555766,00141702;126;Fietsnetwerk Leiestreek;6521-6522;FIX;PE;PF
379967,71656190;6557507,05632577;126;Fietsnetwerk Leiestreek;6474-6521;FIX;N4;PE
379277,56225863;6560545,10305654;126;Fietsnetwerk Leiestreek;6473-6474;FIX;N3;N4
382895,45690664;6547904,10612179;126;Fietsnetwerk Leiestreek;6525-6529;FIX;PI;PM
385835,79795251;6547880,99762356;126;Fietsnetwerk Leiestreek;6487-6487;NIV;#N/A;OI
364506,06230388;6550318,39774605;126;Fietsnetwerk Leiestreek;6504-6505;FIX;OZ;O0
362558,98110340;6547750,19399827;126;Fietsnetwerk Leiestreek;6505-6506;FIX;O0;O1
358510,26226328;6548645,94247776;126;Fietsnetwerk Leiestreek;6506-6507;FIX;O1;O2
354616,15558997;6550403,06803369;126;Fietsnetwerk Leiestreek;6500-6507;FIX;O2;OV
375361,40795389;6549378,70933642;126;Fietsnetwerk Leiestreek;6517-6518;FIX;PA;PB
345052,55883141;6574461,83050935;126;Fietsnetwerk Leiestreek;6348-6357;FIX;KQ;KY
347699,40342748;6578224,37567919;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
347713,19516148;6578278,68578517;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
379116,85273811;6552220,28548809;126;Fietsnetwerk Leiestreek;6523-6535;FIX;PS;PG
375025,58054845;6570542,13419498;126;Fietsnetwerk Leiestreek;6405-6407;FIX;L8;MA
376591,20961416;6573952,43134165;126;Fietsnetwerk Leiestreek;6405-6408;FIX;MB;L8
378354,20290222;6571753,74561114;126;Fietsnetwerk Leiestreek;6405-6406;FIX;M9;L8
378743,08786431;6572058,70304817;126;Fietsnetwerk Leiestreek;6406-6406;NIV;#N/A;M9
378845,09112263;6572077,77395547;126;Fietsnetwerk Leiestreek;6406-6406;NIV;#N/A;M9
371998,32969365;6561484,32030364;126;Fietsnetwerk Leiestreek;6471-6472;FIX;N1;N2
374214,08045266;6563155,48238415;126;Fietsnetwerk Leiestreek;6424-6472;FIX;N2;MQ
374572,26863656;6560877,48906113;126;Fietsnetwerk Leiestreek;6472-6475;FIX;N2;N5
377151,58944759;6559110,78203295;126;Fietsnetwerk Leiestreek;6474-6475;FIX;N5;N4
374285,85107100;6558174,61631173;126;Fietsnetwerk Leiestreek;6475-6476;FIX;N5;N6
368443,60905532;6553936,73876792;126;Fietsnetwerk Leiestreek;6508-6509;FIX;O4;O3
360164,37135183;6555471,64853468;126;Fietsnetwerk Leiestreek;6468-6468;NIV;NY;#N/A
387397,60887181;6558229,68526386;126;Fietsnetwerk Leiestreek;6481-6482;FIX;OC;OB
386302,43934359;6556115,68463786;126;Fietsnetwerk Leiestreek;6482-6483;FIX;OD;OC
387953,88763183;6555694,35509882;126;Fietsnetwerk Leiestreek;6482-6484;FIX;OC;OE
377848,20875460;6554357,70732512;126;Fietsnetwerk Leiestreek;6521-6521;NIV;#N/A;PE
342485,89895283;6554744,56540459;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
361575,62456122;6550511,10588504;126;Fietsnetwerk Leiestreek;6503-6506;FIX;OY;O1
363667,02931027;6574177,30748152;126;Fietsnetwerk Leiestreek;6363-6388;FIX;K4;LR
389227,46065657;6551461,88206650;126;Fietsnetwerk Leiestreek;6486-6489;FIX;OG;OK
347032,60306509;6555014,44108011;126;Fietsnetwerk Leiestreek;6440-6441;FIX;M6;M7
350362,94319186;6559535,41906756;126;Fietsnetwerk Leiestreek;6433-6434;FIX;M0;MZ
352119,21604879;6559949,38140928;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
350949,06293918;6569544,39057110;126;Fietsnetwerk Leiestreek;6381-6382;FIX;LL;LK
354816,62683649;6571666,20724065;126;Fietsnetwerk Leiestreek;6380-6381;FIX;LK;LJ
357421,62884388;6572966,00492244;126;Fietsnetwerk Leiestreek;6380-6384;FIX;LJ;LN
357957,01611452;6574178,90643312;126;Fietsnetwerk Leiestreek;6379-6384;FIX;LN;LI
354844,17110904;6575675,96171844;126;Fietsnetwerk Leiestreek;6379-6379;NIV;LI;#N/A
358808,56769818;6574075,47636679;126;Fietsnetwerk Leiestreek;6384-6384;NIV;LN;#N/A
357913,18128773;6573781,35258160;126;Fietsnetwerk Leiestreek;6384-6384;NIV;LN;#N/A
376737,26538082;6566248,44258570;126;Fietsnetwerk Leiestreek;6423-6426;FIX;MS;MP
378268,96708106;6568141,80335012;126;Fietsnetwerk Leiestreek;6421-6426;FIX;MN;MS
367155,67324960;6567803,32259807;126;Fietsnetwerk Leiestreek;6397-6402;FIX;L0;L5
367565,45617026;6547560,88816479;126;Fietsnetwerk Leiestreek;6505-6520;FIX;O0;PD
359173,62530755;6552701,88011831;126;Fietsnetwerk Leiestreek;6499-6501;FIX;OU;OW
356834,10327071;6552576,78771672;126;Fietsnetwerk Leiestreek;6499-6502;FIX;OX;OU
359081,37581356;6553043,10143700;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
358853,93281493;6552472,72958535;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
382502,76534027;6575591,25339135;126;Fietsnetwerk Leiestreek;6409-6409;NIV;MC;#N/A
357433,93567154;6558469,25645233;126;Fietsnetwerk Leiestreek;6432-6435;FIX;MY;M1
359109,73649017;6562708,85107130;126;Fietsnetwerk Leiestreek;6431-6435;FIX;M1;MX
358896,69676693;6565396,10862564;126;Fietsnetwerk Leiestreek;6390-6390;NIV;LT;#N/A
360260,83443978;6565457,37613660;126;Fietsnetwerk Leiestreek;6389-6390;FIX;LT;LS
361504,88181949;6567493,62684642;126;Fietsnetwerk Leiestreek;6386-6389;FIX;LS;LP
363908,22712929;6564490,03240018;126;Fietsnetwerk Leiestreek;6389-6401;FIX;L4;LS
357805,30055860;6550280,67259096;126;Fietsnetwerk Leiestreek;6499-6507;FIX;O2;OU
370475,86368778;6556273,18240484;126;Fietsnetwerk Leiestreek;6455-6510;FIX;NL;O5
352552,51660533;6573804,43646249;126;Fietsnetwerk Leiestreek;6353-6381;FIX;KU;LK
357655,74332490;6568915,55698962;126;Fietsnetwerk Leiestreek;6380-6390;FIX;LJ;LT
359331,70456398;6557911,49622577;126;Fietsnetwerk Leiestreek;6435-6438;FIX;M4;M1
376570,14981328;6582574,24402113;126;Fietsnetwerk Leiestreek;6339-6370;FIX;LA;KI
351732,88943440;6577815,01421749;126;Fietsnetwerk Leiestreek;6354-6354;NIV;KV;#N/A
340632,44972330;6556407,84293971;126;Fietsnetwerk Leiestreek;6439-6528;FIX;M5;PL
364074,78700564;6558893,36359035;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
